Name	Instructions	Difficulty	Impact	Muscle Group(s)	Easier Modification	Harder Modification	Equipment Required	Is Stretch	Link
dynamic-downward-dog	From your hands and knees, pull your belly button to the spine to activate the core. Press firmly into your hands and feet to raise your knees off the floor coming into and inverted &#8216;V&#8217; position. Have the knees slightly bent whilst simultaneously directing your heels towards the floor, stretching the back of the legs. Aim to create a straight line with your spine from hands to hips, pull your belly button to your spine and pull your lower ribs into the body. 	Easy	Low	shoulders, calves, hamstrings	Practise with our static downward dog pose first.	N/A	N/A	False	https://sworkit.com/exercise/dynamic-downward-dog
dumbbell-forward-lunges-right	Stand with feet at hip width and a dumbbell in each hand, down by your sides. Before you start make sure you have enough clear level floor space in front of you to be able to take a big step forwards.	Medium	Normal	calves, glutes, hamstrings, quadriceps	This exercise can be down as a body weight exercise without dumbbells &#8211; check out our Forwards Lunges exercise. Also try our Rear Lunges and Dumbbell Reverse Lunges.	Increase the weight of your dumbbells to make this exercise more challenging. You can also try elevating your front foot on a small step to increase the range of movement, thus making the exercise more challenging with the same weight. Check out our body weight plyometric exercise to called Lunge Jumps.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-forward-lunges-right
dumbbell-bicep-curl	Stand with your feet at hip width and core engaged to support you throughout the movement. Start with a dumbbell in each hand, at your sides, like you would hold suitcases. Bend your right arm at the elbow and raise the right dumbbell up towards your shoulder, rotating it as you do so that your palm faces in towards your right shoulder. Then lower it with control, rotating it back to the start position. Repeat this movement with the left arm and then keep alternating left and right for the duration of the exercise.	Medium	Normal	biceps	This exercise can be made easier by using lighter dumbbells or try improvising with a water bottle in each hand. You can also do this exercise without holding anything to begin with.  	Once you have mastered these, try our variations like Dumbbell Hammer Curls and Dumbbell Popeye Hammer Curls. 	Dumbbell	False	https://sworkit.com/exercise/dumbbell-bicep-curl
kneeling-hip-flexor	Start standing and place your hands on your hips, with enough space behind you to step backwards. Then take a big step back with your right leg, on to the toes of your right foot. Lower the right knee to the floor and turn your foot over so you are resting on the top of your right foot.	Easy	Low	lower back, quadriceps	Easier Kneeling Hip Flexor Variations include:	N/A	N/A	False	https://sworkit.com/exercise/kneeling-hip-flexor
kettlebell-double-reach	Start laying on your back. Hold the kettlebell in both hands over your head, fully extend your arms. Then elevate your feet off the floor with a 90-degree bend at your hips and your knees. You want your thighs to be vertical and your shins to be parallel to the floor. This is the start position.	Hard	Low	abs, shoulders, quadriceps	For an easier option try our Elevated Crunches exercise. 	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-double-reach
side-shuffle	For this cardio exercise you will need space around you to move side to side and forwards and backwards. Set yourself up in the centre of this space in a ready position for running. So arms bent and knees soft with a neutral spine. Then step forwards with your right foot, then diagonally backwards and sideways with your left. Next, step your right foot back to join your left, then step forwards with your left. In doing this you will have shuffled forwards and backwards and out to your left. 	Easy	High	calves, quadriceps	For more simple cardio exercises, try out our Step Touch and Running in Place drills.	Once you are comfortable with the coordination of this move, try out our Side Sweep and Squat Jacks	N/A	False	https://sworkit.com/exercise/side-shuffle
frog-jumps	Start in a standing position with your feet at shoulder width. Then lower down into a 3/4 squat position with your arms at your sides. Pause here for a second and get ready to explosively jump up and forwards about 2 feet. Jump up and land about 2 feet in front of your start position.	Hard	High	calves, glutes, quadriceps	You can reduce the impact and intensity of this exercise, whilst working similar muscles using our Squats exercise. Or reduce the complexity by trying Jump Squats instead.	Take your jumping to the next level with our Knee to Chest Hops, Lunge Jumps and Power Jump exercises.	N/A	False	https://sworkit.com/exercise/frog-jumps
resistance-band-supine-hamstring-stretch-right	Lay on your back with the band around the sole of your right foot. Lift your right leg while you gently pull on the handles to increase the stretch. Keep your leg straight. 	Easy	Low	hamstrings	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Band	True	https://sworkit.com/exercise/resistance-band-supine-hamstring-stretch-right
twisting-plank-push-back-left	Start off on your hands and knees. Activate your core by pulling the belly button to the spine. Tuck your toes and lift your knees off the floor. Make a straight line with your body from your shoulders through your hips to your heels. Press the back of your shoulders blades up to the ceiling, doming slightly the upper back. Tuck your coccyx (tailbone) slightly toward the chest. Gaze slightly in front. Cross your right foot over your left foot, allowing your left hip to twist to point to the floor. Push back up, driving your hips back and up toward the ceiling in an inverted &#8216;V&#8217; position. Aim to create a straight line with your spine from hands to hips.	Hard	Normal	abs, lower back	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	N/A	False	https://sworkit.com/exercise/twisting-plank-push-back-left
side-bend	Stand with feet shoulder width apart. Place one hand on your hip and reach up and over your head with your other arm, bending sideways to the side where your arm is reaching. Then switch sides. Keep your breathing normal. Do this for a series of repetitions.	Easy	Low	abs, lower back, shoulders	This exercise can be done seated. 	This exercise can be done with elastic bands or cables. 	N/A	False	https://sworkit.com/exercise/side-bend
double-leg-kick	Lie on your front with your spine and pelvis in neutral, so your spine feels comfortable in its natural curve. Engage your center and maintain the position of the lower spine and pelvis. Interlace your fingers behind your back and bring them as far up your back as is comfortable.	Medium	Normal	triceps, upper back, lower back, shoulders, glutes, hamstrings	Rather than interlacing the fingers, change the start position by clasping the fingers of one hand in the palm of the other with the palms facing up and releasing the elbows down towards the floor.	Increasing the number of reps will challenge your core stability and increase you upper back strength.	N/A	False	https://sworkit.com/exercise/double-leg-kick
overhead-arm-clap	Standing upright with your feet at hip width, and legs straight, engage your glutes and brace your core whilst drawing your ribs in. Then stretch your arms out as wide as you can at shoulder height to make a T-shape with your body. From there, rotate your arms so your palms face down. 	Easy	Low	shoulders	If you feel unstable standing, try starting off by sitting on a chair or bench, without leaning backwards.	Increase the resistance of the exercise by holding weights each each hand, or standing on one leg to challenge your balance and leg muscles more.	chair	False	https://sworkit.com/exercise/overhead-arm-clap
lunge-jumps	From standing step forward with your left foot and bend at both knees to lower yourself down into a lunge position with your arms by your side. in this position, your knees should both be bent to approximately 90 degrees and make sure your front knee is not forward of your toes.	Hard	High	calves, glutes, hamstrings, quadriceps	Use our Rear Lunges and Forward Lunges exercises to get confident with lunging before you add in the jumping element to the exercise.	Increase the complexity of this movement by adding in a rotational jump with each lunge, so that you land at a 45 degree angle to your start position. Also try our Iron Mike exercise for some variety.	N/A	False	https://sworkit.com/exercise/lunge-jumps
fast-feet	With your feet at hips width, lower your body down into a half squat position and reach out with your arms in front of you. Lift up your heels so you are on the balls of your feet. Hold this body position, then start running as fast as you can on the spot. Stay low as your run and feel the burn in your quads.	Medium	Normal	calves, glutes, quadriceps	Build up to this with exercises such as our March in Place, Butt Kickers and Running in Place	N/A	N/A	False	https://sworkit.com/exercise/fast-feet
kettlebell-overhead-tricep-extensions	Begin with your feet shoulder width apart, and tighten your core. Hold the kettlebell in both hands. Lift the kettlebell straight above your head with your elbows tucked in by your ears. Lower the kettlebell behind, bending at your elbows. Lowering the kettlebell should be a controlled motion.	Medium	Low	abs, triceps, shoulders	To work up to this exercise increase your tricep strength with our Tricep Dips or Lying Triceps Lifts exercises.	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-overhead-tricep-extensions
plank-with-reach-back	Start in a plank position, resting on your elbows and toes, with straight legs and feet at shoulder width. Make your body as rigid as you can from your feet to your head to keep it in a straight &#8220;plank-like&#8221; shape side on. Do this by tensing your quads to lift your knee caps up your thighs, squeezing your glutes together, bracing your core and drawing your belly button up away from the floor, whilst at the same time pressing down into the floor with your elbows.	Medium	Normal	abs, upper back, hip flexor	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/plank-with-reach-back
cat-and-cow-sequence	In this awesome mobilization for your spine, start on your hands and knees with your knees beneath your hips and your palms beneath your shoulders. Activate your core by pulling your belly into your spine. Keeping the core active start to push your chest forward through the arms and allow your spine to curve downwards. Your gaze will track up to the ceiling. Pull your shoulders back and keep extending your chest forward. Pull your belly in firmer and guide yourself back to neutral. This is the &#8216;cow&#8217; part of the movement.	Easy	Low	abs, upper back, lower back	N/A	N/A	N/A	False	https://sworkit.com/exercise/cat-and-cow-sequence
single-arm-dumbbell-swing-right	Stand with feet slightly wider than shoulder width. Hold the dumbbell in your right hand, with the arm straight down in front of your body. Keep the shoulders slightly pulled back and chest open. Your left arm can be kept up and out to your side for balance. Engage your core, push your hips back and bend your knees, pulling the dumbbell between your legs. Vigorously thrust your hips forward, and propel the dumbbell up and straight out to shoulder height. Ensure that your glutes are squeezed and knees are locked at this top position. Allow the dumbbell to come back down, push your hips back and bend your knees to &#8216;catch&#8217; the dumbbell between your legs.  Vigorously thrust your hips forward to start the next swing. Keep your eyes looking straight ahead for the duration of this exercise.  Remember to keep your chest up and open at all times. Keep your back in a neutral position and don&#8217;t allow yourself to bend forward or twist to one side. Your glutes and legs power this exercise, not your arms or shoulders.	Hard	Normal	abs, upper back, lower back, shoulders, hamstrings	You can use two hands to grip the dumbbell. This will feel more stable, with less chance of twisting the torso.	Swing the dumbbell up above the head. This will be more challenging for the shoulders and core.	Dumbbell	False	https://sworkit.com/exercise/single-arm-dumbbell-swing-right
curtsey-lunge-pulse-right	Start standing tall with feet at shoulder width. With your right foot, take a large step back and to the left. Your left foot should land behind and outside your left foot. Bend your knees and lunge. Your right knee should move close, but not touch, the floor. Keep your hands together close to your chest. Pulse your right knee up and down a few inches. Step your right foot back to the starting position.	Medium	Low	glutes, hamstrings, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	N/A	False	https://sworkit.com/exercise/curtsey-lunge-pulse-right
wrist-curl	Stand with feet shoulder width apart keeping your back straight and face forward. Bring your arms out to the side of your body and rotate your wrists slowly outwards and then in towards your body. Keep your breathing normal. This exercise is excellent for loosening up tight wrists and forearms.  	Easy	Low	triceps, biceps	This exercise can be done seated. 	This exercise can be done with light dumbbells. 	N/A	False	https://sworkit.com/exercise/wrist-curl
cow-face-fold-right	From a seated position, fold your left leg underneath the right leg with the left heel coming to the outside of the right hip. Have the left toes pointed backwards so the top of the foot presses down into the floor. Mirror this shape with the right leg, taking your right heel outside of the left hip with toes pointed backwards. Draw in your belly button to your spine, lift to the ceiling with the crown of your head and press down with your coccyx (tailbone). Stay there for 5 breaths and then come out.	Medium	Normal	glutes, quadriceps	N/A	N/A	N/A	False	https://sworkit.com/exercise/cow-face-fold-right
squat-jabs	Start off in a standing position with your feet at shoulder width, then bend your knees to lower yourself down into a quarter squat and hold this position with your legs for the duraton of the exercise.	Easy	Normal	abs, triceps, biceps, chest, shoulders, calves, glutes, quadriceps	Easier Squat Jabs Variations include:	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/squat-jabs
toe-lift	Stand with feet shoulder width apart and raise up on your toes slowly and then come back down on your heels slowly for the duration of the repetitions. Keep your back straight, head facing forward, and breathing normal. 	Easy	Low	calves	This exercise can be done seated. 	This exercise can be done with elastic bands or dumbbells. 	N/A	False	https://sworkit.com/exercise/toe-lift
roll-up	Start lying on your back with your legs straight and feet flexed. Your arms are pointing straight up to the ceiling from the shoulder.	Hard	Normal	abs, lower back	Use a resistance band round the feet holding the ends in each hand by your hips. Keep you arms straight and allow the band to help you roll up. The more tension in the band the more assistance.	To increase the challenge to the abdominals start with the arms out long behind the head. As you begin to lift the head keep the arms by the ears and maintain their position relative to the head for the whole movement. 	N/A	False	https://sworkit.com/exercise/roll-up
kettlebell-chest-press-left	Lay on your back with the kettlebell in your left hand. Begin with your elbow at shoulder height and the kettlebell at your shoulder. Press the weight straight up in the air and control the kettlebell back down to your shoulder. Keep your core tight and both your hips firmly planted on the floor. 	Easy	Low	biceps, upper back, chest, shoulders	To work up to this exercise try Push Ups on Knees 	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-chest-press-left
dumbbell-bent-over-row	With a dumbbell in each hand, hinge forwards at the hips so the angle of your spine is roughly 10-20 degrees above horizontal. Slightly bend your knees to reduce tension in your hamstrings and lower back.  Look slighly forwards and down at the floor to keep your neck in alignment with the rest of your back. Keep a straight, angled spine, and engage your core by lifting your belly button up into your spine. Let the weights hang just infront of your shins, then lift them up towards the sides of your ribs without changing the angle of your back, squeezing your shoulder blades together. Control the weight back down, keeping your shoulder blades engaged. Avoid rounding your lower back or moving your upper body up and down to generate momentum.	Medium	Normal	biceps, upper back, chest	This exercise can be made easier by using a lighter pair of dumbbells, or by just holding one dumbell in one arm and performing the exercise one side at a time. Also check out our Dumbbell Bicep Curl and Dumbbell Hammer Curl as a good way to build up your arm strength to prepare for this exercise.	Progressing to heavier dumbbells with make this more challenging. Changing the angle of your spine so that it is as close to horizontal as possible will also make this harder. Check out our Dumbbell Renegade and Push-Up too.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-bent-over-row
butt-kickers	Start from a standing position with your hands on your hips. Then start running on the spot but in this exercise keep your knees fixed directly underneath your hips and shoulders. Then exaggerate how much you lift your heals up off the floor and flick them up and in towards your glutes.	Easy	High	calves, glutes, hamstrings	Take out the impact of this exercise and reduce the intensity by trying our March in Place exercise.	Take this exercise to the next level and progress to our High Knees and Sprinter exercises.	N/A	False	https://sworkit.com/exercise/butt-kickers
leg-spreaders	Lay down on your back on a mat or a towel on a flat surface. Keep your back firmly pressed down against the floor and push your palms down into the floor, by your hips to help stabilize your core. Then with your legs straight and together, lift them up off the floor by about a foot (30cm). 	Medium	Low	abs, lower back, calves, glutes, quadriceps	You can reduce the intensity of this exercise by bending your legs at the knees to shorten the length of your legs, keeping your feet closer to your hips. Also try some of our other exercises first like Leg Lifts and Plank Pose.	To amp this exercise up, take your hands off the floor and lift up your shoulder blades into the top of a crunch and hold that position whilst completing the exercise. Other harder exercises are: Snow angel, V Sit-Ups and Six inch and hold.	N/A	False	https://sworkit.com/exercise/leg-spreaders
kettlebell-single-dead-lift-left	Start standing with the kettlebell in your right hand. Slight bend your left knee, tighten your core and hinge forward from your hip, lifting your right leg behind you. As you move through the motion try to maintain a straight line from your head to your toes. This can be done by keeping your core tight, shoulders pulled back and a straight leg. Keep your toes turned down toward the floor to try and keep your hips level. This is a total body exercise that strengths and challenges your balance. 	Hard	Low	abs, lower back, glutes, hamstrings	To work up to this exercise try Back Leg Raise, Squat with Back Kick or Leg Pull Back to increase back and hamstring strength. 	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-single-dead-lift-left
crab-walk	Start off by sitting down on the floor leaning on your arms and with your feet drawn in towards your hips. Make sure your hands are on the floor underneath your shoulders with your fingers pointing down to your feet. Then, push into your hands and feet, engage your core and glutes to lift your hips off the floor by about 6 inches. This is the start position of the movement.	Medium	Normal	abs, triceps, chest, shoulders, calves, hamstrings, quadriceps	Try our switch kick exercise to build up strength to help tackle the crab walk.	Once you have mastered this movement, progress things with our Swipers exercise.	N/A	False	https://sworkit.com/exercise/crab-walk
duck-walk	Stand with feet at shoulder-width apart. Sit your hips back and bend your knees into a half squat position. Keep your chest up and clasp your hands in front of your chest. Keeping your knees bent in the half-squat position, slowly walk forward a few steps. In the same position, walk a few steps back to the start point.	Easy	Normal	glutes, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/duck-walk
tricep-dips	Start by sitting on the floor, with your legs out in front of you and place your hands on the floor, underneath your shoulders, with your fingers pointing towards your feet. Then, bending your knees, draw your feet in towards your hips until the soles of your feet are flat on the floor. Push down into your hands and feet to pick your hips up off the floor. 	Easy	Normal	upper back, chest, shoulders, glutes	Try lowering yourself from a higher starting position by having your hands on a stable bench or step, with your legs bent in and feet flat to the floor so you can push with your legs to assist the arms a little bit. Also try our Lying Triceps Lifts exercise to build up strength to help you tackle this one.	Having your hands on a bench or a step, or even one hand on two separate chairs with a gap between them for you to lower down in between, will enable you to perform this exercise with great range of movement, which makes it harder. From there you can try it with legs straight, and then with legs elevated.	chair	False	https://sworkit.com/exercise/tricep-dips
push-up-and-clap	Start at the top of the push up position with your hands on the floor, arms straight and underneath your shoulders. Step your feet back behind you and lift your knees. Engage your glutes, tense your legs and brace your core to keep your body rigid. 	Hard	High	abs, triceps, upper back, chest, shoulders	Try our Shoulder Tap Push-Ups and our Alternating Push-Up Plank to get strong enough to attempt this move.	N/A	N/A	False	https://sworkit.com/exercise/push-up-and-clap
sumo-squat	Sumos squats are similar to regular squats, except with added focus on your inner thighs. Start in a standing position, take your feet out sideways so that they are wider than shoulder width and toes turned out slightly. Bring your hands up into a prayer position on your chest.	Medium	Normal	glutes, hamstrings, quadriceps	Work up to this movement by having a go with our Sumo Stretch and Chair Squat exercises first.	Amp things up a little and try our Lateral Squats and for a real quad burn, try our Jump Squats.	chair	False	https://sworkit.com/exercise/sumo-squat
kettlebell-suitcase-dead-lift-right	Start with your feet shoulder width apart and the kettlebell in your right hand. Hold the kettlebell next to your side with a straight arm. Begin the movement by sitting your hips back, bending your knees and push them out to the sides a little, whilst keeping your core tight, head looking forwards at eye height and your chest up. Your heels should stay in contact with the floor and your weight should be centered, mid-foot. Continue down until your hips are level with your knees and your thighs are parallel (or as low to this as your mobility will allow). The kettlebell should come down next to your toes. This is the bottom of the squat, and quickly reverse the motion until you return to the starting position. As you squat, keep your head and chest up and push your knees out.	Hard	Low	abs, lower back, glutes, hamstrings, quadriceps	To modify this exercise try and of our many Squat options. Or limit the amount your lower your body based on your mobility. 	If this is becoming too easy, increase the weight of your kettlebell or try our Kettlebell Clean and Press.	Kettlebell	False	https://sworkit.com/exercise/kettlebell-suitcase-dead-lift-right
head-turn	Stand with feet shoulder width apart and back straight. Turn your head slowly to one side and back to centre. Do this for a series of repetitions and keep breathing normal. Then repeat this on the other side. This exercise is great for loosening neck muscles. 	Easy	Low	shoulders	This exercise can be done seated. 	N/A	N/A	False	https://sworkit.com/exercise/head-turn
clam-shells-left	Lie on your right hand side. Rest your head on your right arm. Then bend your hips to approximately 45 degrees and bend your knees at 90 degrees. Keep your hips stacked one on top of the other and your feet should be in line with your back. Draw your belly button in towards your spine and contract your left glute muscles to lift your left knee up away from your right knee by 4 to 6 inches. Then lower it slowly to the start position. Keep your feet in contact with one another.	Easy	Low	glutes	N/A	N/A	N/A	False	https://sworkit.com/exercise/clam-shells-left
side-plank-knee-drives-left	Lay down on your right side and rest your upper body on your right hand, making sure the right arm is straight and in the same vertical line as your shoulder. Place your left hand on your left hip to help as a cue to keep your hips stacked. Your left foot should be resting on top of your right foot.	Hard	Normal	abs, shoulders	Try the following to make it easier.	Try the following to make it harder.	N/A	False	https://sworkit.com/exercise/side-plank-knee-drives-left
dumbbell-reach-up	Lay on your back with one dumbbell held with two hands and both legs lifted straight-up.  Contract your core and upper abs to curl your torso off the floor. Control the movment on the way back down. Aim to keep your legs as vertical and straight as possible. Try to curl up high enough to touch your feet with the dumbbell.	Medium	Normal	abs, lower back	Make this less intense by reducing the weight of the dumbbell, or by lowering your feet on the the floor. Check out our similar body-weight exercises such as Elevated Crunches and Reach Throughs too.	To make this exercise more challenging try it with a heavier weight or check out our V Sit-up exercise	Dumbbell	False	https://sworkit.com/exercise/dumbbell-reach-up
fish-pose	To start, lay on your back with your arms extended alongside the body. With your palms facing downwards tuck your hands under your thighs reaching your fingertips as far forward, towards the heels, as possible and then tuck your elbows under the body too. Activate your core by pulling your belly button to your spine. Press into your hands and forearms to start to lift your upper torso off the floor. Lift your shoulders and head as high as you can, then tilt your head back to rest the crown of your head on the floor. Keep pressing into your arms, increasing the arch of the chest throughout the duration of the pose. When you are ready to come out, press more into your arms to lift your head off the floor, tuck your chin to your chest and then slowly lower your upper torso and back of your head back to the earth. Release your hands and elbows from underneath you.	Easy	Low	upper back, shoulders	N/A	N/A	N/A	False	https://sworkit.com/exercise/fish-pose
v-sit-up	Lay down on your back with your arms reaching out over your head and your legs stretched out on the floor. We also recommend having some padding like an exercise mat between your hips and the floor. 	Hard	Normal	abs	You can vary the intensity of this exercise by how straight you keep your legs and how upright your raise your upper body. To reduce the intensity of the exercise, bend your legs in at the knees so that your heals are closer to your hips. 	N/A	N/A	False	https://sworkit.com/exercise/v-sit-up
foam-roller-upper-back	Lay on your back with knees bent and roller under your upper back. Place your hands behind your neck and bring your chin to your chest. Bend your knees to move the roller up and down your upper back.	Easy	Low	upper back	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-upper-back
kettlebell-front-squat-left	Start with your feet shoulder width apart and the kettlebell in your left hand. Hold the kettlebell at shoulder height. Begin the movement by sitting your hips back, bending your knees and push them out to the sides a little, whilst keeping your core tight, head looking forwards at eye height and your chest up. Your heels should stay in contact with the floor and your weight should be centered, mid-foot. Continue down until your hips are level with your knees and your thighs are parallel (or as low to this as your mobility will allow). This is the bottom of the squat, and quickly reverse the motion until you return to the starting position. As you squat, keep your head and chest up and push your knees out.	Easy	Low	glutes, quadriceps	To modify this exercise try and of our many Squat options. Or limit the amount your lower your body based on your mobility. 	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Kettlebell	False	https://sworkit.com/exercise/kettlebell-front-squat-left
dumbbell-shoulder-raise	Stand with feet shoulder-width apart. Squeeze your glutes and engage your core. Start with the dumbbells down by your side. Keeping your shoulders slightly pulled back and chest up and open, raise both arms up and away from the body until they are at shoulder height and parallel to the floor. Reverse the movement and return to the start position. Maintain straight arms without locking the elbows for the duration of the exercise. Move steadily and avoid using momentum to lift the dumbells. The hips should not move, only the arms.	Medium	Normal	upper back, shoulders	If you feel unstable, you can sit down on a chair or bench.	This can be performed by raising one arm at a time.	Dumbbell,chair	False	https://sworkit.com/exercise/dumbbell-shoulder-raise
kettlebell-alternating-side-lunge	Start in a standing position, take your feet out sideways so that they are wider than shoulder width and toes turned out slightly. Hold the kettlebell in both hands. Then bend your left knee and push your hips backward, to lower yourself down over your left foot. Your right leg should remain as straight as possible. Keep your heels down on the floor. From here, straighten your left leg to stand up and return to the center position. Then bend your right knee to squat over to your right-hand side with your left leg straight. Keep your back straight and shoulders back at all times, bend forward from your hips. 	Medium	Low	lower back, glutes, quadriceps	For an easier option try our Lateral Squats.	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-alternating-side-lunge
kettlebell-suitcase-dead-lift-right-2	Start with your feet shoulder width apart and the kettlebell in your right hand. Hold the kettlebell next to your side with a straight arm. Begin the movement by sitting your hips back, bending your knees and push them out to the sides a little, whilst keeping your core tight, head looking forwards at eye height and your chest up. Your heels should stay in contact with the floor and your weight should be centered, mid-foot. Continue down until your hips are level with your knees and your thighs are parallel (or as low to this as your mobility will allow). The kettlebell should come down next to your toes. This is the bottom of the squat, and quickly reverse the motion until you return to the starting position. As you squat, keep your head and chest up and push your knees out.	Easy	Low	abs, glutes, hamstrings, quadriceps	To modify this exercise try and of our many Squat options. Or limit the amount your lower your body based on your mobility. 	If this is becoming too easy, increase the weight of your kettlebell or try our Kettlebell Clean and Press.	Kettlebell	False	https://sworkit.com/exercise/kettlebell-suitcase-dead-lift-right-2
